¿¬µµ,¿¬¿ù¸»,µî¶ôÆø,µî¶ô·ü,Æò±Õ
2000. 02,828.38,-115.50,-12.24,902.73
2000. 03,860.94,32.56,3.93,878.38
2000. 04,725.39,-135.55,-15.74,779.75
2000. 05,731.88,6.49,0.89,720.77
2000. 06,821.22,89.34,12.21,795.05
2000. 07,705.97,-115.25,-14.03,794.13
2000. 08,688.62,-17.35,-2.46,720.35
2000. 09,613.22,-75.40,-10.95,622.92
2000. 10,514.48,-98.74,-16.10,548.07
2000. 11,509.23,-5.25,-1.02,544.09
2000. 12,504.62,-4.61,-0.91,526.36
2001. 01,617.91,113.29,22.45,585.02
2001. 02,578.1,-39.81,-6.44,593.4
2001. 03,523.22,-54.88,-9.49,543.89
2001. 04,577.36,54.14,10.35,530.27
2001. 05,612.16,34.80,6.03,600.73
2001. 06,595.13,-17.03,-2.78,602.93
2001. 07,541.55,-53.58,-9.00,554.11
2001. 08,545.11,3.56,0.66,567.65
2001. 09,479.68,-65.43,-12.00,504.04
2001. 10,537.81,58.13,12.12,523.27
2001. 11,643.89,106.08,19.72,604.92
2001. 12,693.7,49.81,7.74,665.95
2002. 01,748.07,54.37,7.84,738.99
2002. 02,819.99,71.92,9.61,774.42
2002. 03,895.58,75.59,9.22,864.66
2002. 04,842.34,-53.24,-5.94,894.03
2002. 05,796.4,-45.94,-5.45,842.23
2002. 06,742.72,-53.68,-6.74,784.3
2002. 07,717.99,-24.73,-3.33,753.67
2002. 08,736.4,18.41,2.56,713.23
2002. 09,646.42,-89.98,-12.22,703
2002. 10,658.92,12.50,1.93,642.22
2002. 11,724.8,65.88,10.00,679.73
2002. 12,627.55,-97.25,-13.42,699.84
2003. 01,591.86,-35.69,-5.69,630.98
2003. 02,575.43,-16.43,-2.78,591.56
2003. 03,535.7,-39.73,-6.90,550.75
2003. 04,599.35,63.65,11.88,585.88
2003. 05,633.42,34.07,5.68,613.49
2003. 06,669.93,36.51,5.76,663.17
2003. 07,713.52,43.59,6.51,703.53
2003. 08,759.47,45.95,6.44,731.65
2003. 09,697.52,-61.95,-8.16,742.29
2003. 10,782.36,84.84,12.16,756.45
2003. 11,796.18,13.82,1.77,789.05
2003. 12,810.71,14.53,1.82,801.18
2004. 01,848.5,37.79,4.66,845.53
2004. 02,883.42,34.92,4.12,867.45
2004. 03,880.5,-2.92,-0.33,875.58
2004. 04,862.84,-17.66,-2.01,907.14
2004. 05,803.84,-59.00,-6.84,798.79
2004. 06,785.79,-18.05,-2.25,771.61
2004. 07,735.34,-50.45,-6.42,746.07
2004. 08,803.57,68.23,9.28,770.31
2004. 09,835.09,31.52,3.92,835.92
2004. 10,834.84,-0.25,-0.03,849.11
2004. 11,878.06,43.22,5.18,863.1
2004. 12,895.92,17.86,2.03,873.06
2005. 01,932.7,36.78,4.11,903.35
2005. 02,"1,011.36",78.66,8.43,964.48
2005. 03,965.68,-45.68,-4.52,988.23
2005. 04,911.3,-54.38,-5.63,955.41
2005. 05,970.21,58.91,6.46,938.98
2005. 06,"1,008.16",37.95,3.91,991.34
2005. 07,"1,111.29",103.13,10.23,"1,058.71"
2005. 08,"1,083.33",-27.96,-2.52,"1,101.84"
2005. 09,"1,221.01",137.68,12.71,"1,171.02"
2005. 10,"1,158.11",-62.90,-5.15,"1,190.86"
2005. 11,"1,297.44",139.33,12.03,"1,253.26"
2005. 12,"1,379.37",81.93,6.31,"1,338.81"
2006. 01,"1,399.83",20.46,1.48,"1,379.32"
2006. 02,"1,371.59",-28.24,-2.02,"1,341.72"
2006. 03,"1,359.6",-11.99,-0.87,"1,331.72"
2006. 04,"1,419.73",60.13,4.42,"1,415.92"
2006. 05,"1,317.7",-102.03,-7.19,"1,388.83"
2006. 06,"1,295.15",-22.55,-1.71,"1,249.19"
2006. 07,"1,297.82",2.67,0.21,"1,278"
2006. 08,"1,352.74",54.92,4.23,"1,316.08"
2006. 09,"1,371.41",18.67,1.38,"1,356.53"
2006. 10,"1,364.55",-6.86,-0.50,"1,354.04"
2006. 11,"1,432.21",67.66,4.96,"1,403.93"
2006. 12,"1,434.46",2.25,0.16,"1,418.83"
2007. 01,"1,360.23",-74.23,-5.17,"1,379.25"
2007. 02,"1,417.34",57.11,4.20,"1,434.89"
2007. 03,"1,452.55",35.21,2.48,"1,431.62"
2007. 04,"1,542.24",89.69,6.17,"1,517.12"
2007. 05,"1,700.91",158.67,10.29,"1,614.94"
2007. 06,"1,743.6",42.69,2.51,"1,754.28"
2007. 07,"1,933.27",189.67,10.88,"1,911.56"
2007. 08,"1,873.24",-60.03,-3.11,"1,815.02"
2007. 09,"1,946.48",73.24,3.91,"1,879.03"
2007. 10,"2,064.85",118.37,6.08,"2,004.55"
2007. 11,"1,906",-158.85,-7.69,"1,924.84"
2007. 12,"1,897.13",-8.87,-0.47,"1,903.99"
2008. 01,"1,624.68",-272.45,-14.36,"1,732.29"
2008. 02,"1,711.62",86.94,5.35,"1,689.53"
2008. 03,"1,703.99",-7.63,-0.45,"1,651.15"
2008. 04,"1,825.47",121.48,7.13,"1,776.58"
2008. 05,"1,852.02",26.55,1.45,"1,846.75"
2008. 06,"1,674.92",-177.10,-9.56,"1,758.17"
2008. 07,"1,594.67",-80.25,-4.79,"1,569.6"
2008. 08,"1,474.24",-120.43,-7.55,"1,537.55"
2008. 09,"1,448.06",-26.18,-1.78,"1,446.56"
2008. 10,"1,113.06",-335.00,-23.13,"1,201.7"
2008. 11,"1,076.07",-36.99,-3.32,"1,073.95"
2008. 12,"1,124.47",48.40,4.50,"1,114.9"
2009. 01,"1,162.11",37.64,3.35,"1,156.37"
2009. 02,"1,063.03",-99.08,-8.53,"1,139.75"
2009. 03,"1,206.26",143.23,13.47,"1,140.45"
2009. 04,"1,369.36",163.10,13.52,"1,322.1"
2009. 05,"1,395.89",26.53,1.94,"1,400.5"
2009. 06,"1,390.07",-5.82,-0.42,"1,395.24"
2009. 07,"1,557.29",167.22,12.03,"1,460.03"
2009. 08,"1,591.85",34.56,2.22,"1,577.91"
2009. 09,"1,673.14",81.29,5.11,"1,659.45"
2009. 10,"1,580.69",-92.45,-5.53,"1,630.61"
2009. 11,"1,555.6",-25.09,-1.59,"1,583.47"
2009. 12,"1,682.77",127.17,8.17,"1,646.64"
2010. 01,"1,602.43",-80.34,-4.77,"1,682.16"
2010. 02,"1,594.58",-7.85,-0.49,"1,598.96"
2010. 03,"1,692.85",98.27,6.16,"1,665.5"
2010. 04,"1,741.56",48.71,2.88,"1,730.29"
2010. 05,"1,641.25",-100.31,-5.76,"1,648.3"
2010. 06,"1,698.29",57.04,3.48,"1,691.94"
2010. 07,"1,759.33",61.04,3.59,"1,731.12"
2010. 08,"1,742.75",-16.58,-0.94,"1,762.18"
2010. 09,"1,872.81",130.06,7.46,"1,815.75"
2010. 10,"1,882.95",10.14,0.54,"1,889.7"
2010. 11,"1,904.63",21.68,1.15,"1,924.71"
2010. 12,"2,051",146.37,7.68,"2,002.5"
2011. 01,"2,069.73",18.73,0.91,"2,091.61"
2011. 02,"1,939.3",-130.43,-6.30,"2,002.87"
2011. 03,"2,106.7",167.40,8.63,"2,002.67"
2011. 04,"2,192.36",85.66,4.07,"2,153.13"
2011. 05,"2,142.47",-49.89,-2.28,"2,121.87"
2011. 06,"2,100.69",-41.78,-1.95,"2,074.64"
2011. 07,"2,133.21",32.52,1.55,"2,150.06"
2011. 08,"1,880.11",-253.10,-11.86,"1,869.41"
2011. 09,"1,769.65",-110.46,-5.88,"1,790.95"
2011. 10,"1,909.03",139.38,7.88,"1,825.88"
2011. 11,"1,847.51",-61.52,-3.22,"1,858.8"
2011. 12,"1,825.74",-21.77,-1.18,"1,863.23"
2012. 01,"1,955.79",130.05,7.12,"1,891.01"
2012. 02,"2,030.25",74.46,3.81,"2,003.23"
2012. 03,"2,014.04",-16.21,-0.80,"2,023.41"
2012. 04,"1,981.99",-32.05,-1.59,"1,995.92"
2012. 05,"1,843.47",-138.52,-6.99,"1,886.35"
2012. 06,"1,854.01",10.54,0.57,"1,848.6"
2012. 07,"1,881.99",27.98,1.51,"1,826.75"
2012. 08,"1,905.12",23.13,1.23,"1,918.91"
2012. 09,"1,996.21",91.09,4.78,"1,961.29"
2012. 10,"1,912.06",-84.15,-4.22,"1,942.19"
2012. 11,"1,932.9",20.84,1.09,"1,904.7"
2012. 12,"1,997.05",64.15,3.32,"1,973.84"
2013. 01,"1,961.94",-35.11,-1.76,"1,986.1"
2013. 02,"2,026.49",64.55,3.29,"1,979.85"
2013. 03,"2,004.89",-21.60,-1.07,"1,990.24"
2013. 04,"1,963.95",-40.94,-2.04,"1,938.88"
2013. 05,"2,001.05",37.10,1.89,"1,974.45"
2013. 06,"1,863.32",-137.73,-6.88,"1,884.41"
2013. 07,"1,914.03",50.71,2.72,"1,871.77"
2013. 08,"1,926.36",12.33,0.64,"1,896.96"
2013. 09,"1,996.96",70.60,3.66,"1,984.39"
2013. 10,"2,030.09",33.13,1.66,"2,029.68"
2013. 11,"2,044.87",14.78,0.73,"2,009.92"
2013. 12,"2,011.34",-33.53,-1.64,"1,988.33"
2014. 01,"1,941.15",-70.19,-3.49,"1,948.22"
2014. 02,"1,979.99",38.84,2.00,"1,937.73"
2014. 03,"1,985.61",5.62,0.28,"1,952.43"
2014. 04,"1,961.79",-23.82,-1.20,"1,991.19"
2014. 05,"1,994.96",33.17,1.69,"1,994.13"
2014. 06,"2,002.21",7.25,0.36,"1,995.08"
2014. 07,"2,076.12",73.91,3.69,"2,021.95"
2014. 08,"2,068.54",-7.58,-0.37,"2,060.93"
2014. 09,"2,020.09",-48.45,-2.34,"2,042.71"
2014. 10,"1,964.43",-55.66,-2.76,"1,942.8"
2014. 11,"1,980.78",16.35,0.83,"1,959.65"
2014. 12,"1,915.59",-65.19,-3.29,"1,941.93"
2015. 01,"1,949.26",33.67,1.76,"1,920.99"
2015. 02,"1,985.8",36.54,1.87,"1,961"
2015. 03,"2,041.03",55.23,2.78,"2,012.62"
2015. 04,"2,127.17",86.14,4.22,"2,107.27"
2015. 05,"2,114.8",-12.37,-0.58,"2,114.9"
2015. 06,"2,074.2",-40.60,-1.92,"2,063.69"
2015. 07,"2,030.16",-44.04,-2.12,"2,058.03"
2015. 08,"1,941.49",-88.67,-4.37,"1,952.55"
2015. 09,"1,962.81",21.32,1.10,"1,939.58"
2015. 10,"2,029.47",66.66,3.40,"2,020.57"
2015. 11,"1,991.97",-37.50,-1.85,"2,006.78"
2015. 12,"1,961.31",-30.66,-1.54,"1,971.53"
2016. 01,"1,912.06",-49.25,-2.51,"1,894.65"
2016. 02,"1,916.66",4.60,0.24,"1,900.61"
2016. 03,"1,995.85",79.19,4.13,"1,976.5"
2016. 04,"1,994.15",-1.70,-0.09,"1,996.17"
2016. 05,"1,983.4",-10.75,-0.54,"1,966.68"
2016. 06,"1,970.35",-13.05,-0.66,"1,977.03"
2016. 07,"2,016.19",45.84,2.33,"2,002.48"
2016. 08,"2,034.65",18.46,0.92,"2,036.66"
2016. 09,"2,043.63",8.98,0.44,"2,042.56"
2016. 10,"2,008.19",-35.44,-1.73,"2,036.03"
2016. 11,"1,983.48",-24.71,-1.23,"1,981.75"
2016. 12,"2,026.46",42.98,2.17,"2,021.67"
2017. 01,"2,067.57",41.11,2.03,"2,061.73"
2017. 02,"2,091.64",24.07,1.16,"2,082.8"
2017. 03,"2,160.23",68.59,3.28,"2,136.17"
2017. 04,"2,205.44",45.21,2.09,"2,160.18"
2017. 05,"2,347.38",141.94,6.44,"2,301.89"
2017. 06,"2,391.79",44.41,1.89,"2,372.2"
2017. 07,"2,402.71",10.92,0.46,"2,412.9"
2017. 08,"2,363.19",-39.52,-1.64,"2,372.18"
2017. 09,"2,394.47",31.28,1.32,"2,371.84"
2017. 10,"2,523.43",128.96,5.39,"2,482.87"
2017. 11,"2,476.37",-47.06,-1.86,"2,533.51"
2017. 12,"2,467.49",-8.88,-0.36,"2,467.73"
2018. 01,"2,566.46",98.97,4.01,"2,520.94"
2018. 02,"2,427.36",-139.10,-5.42,"2,439.1"
2018. 03,"2,445.85",18.49,0.76,"2,451.57"
2018. 04,"2,515.38",69.53,2.84,"2,458.22"
2018. 05,"2,423.01",-92.37,-3.67,"2,461.3"
2018. 06,"2,326.13",-96.88,-4.00,"2,394.51"
2018. 07,"2,295.26",-30.87,-1.33,"2,284.25"
2018. 08,"2,322.88",27.62,1.20,"2,283.8"
2018. 09,"2,343.07",20.19,0.87,"2,307.33"
2018. 10,"2,029.69",-313.38,-13.37,"2,153.48"
2018. 11,"2,096.86",67.17,3.31,"2,083.33"
2018. 12,"2,041.04",-55.82,-2.66,"2,070.13"
2019. 01,"2,204.85",163.81,8.03,"2,101.98"
2019. 02,"2,195.44",-9.41,-0.43,"2,210.2"
2019. 03,"2,140.67",-54.77,-2.49,"2,161.91"
2019. 04,"2,203.59",62.92,2.94,"2,212.12"
2019. 05,"2,041.74",-161.85,-7.34,"2,086.9"
2019. 06,"2,130.62",88.88,4.35,"2,105.3"
2019. 07,"2,024.55",-106.07,-4.98,"2,079.48"
2019. 08,"1,967.79",-56.76,-2.80,"1,944.24"
2019. 09,"2,063.05",95.26,4.84,"2,045.21"
2019. 10,"2,083.48",20.43,0.99,"2,065.75"
2019. 11,"2,087.96",4.48,0.22,"2,128.79"
