연도,화폐발행잔액(말잔) (십억원),화폐발행잔액(평잔) (십억원),본원통화(말잔) (십억원),본원통화(평잔) (십억원),"M1(협의통화, 말잔) (십억원)","M1(협의통화, 평잔) (십억원)",M1-MMF(말잔) (십억원),M1-MMF(평잔) (십억원),"M2(광의통화, 말잔) (십억원)","M2(광의통화, 평잔) (십억원)",Lf(말잔) (십억원),Lf(평잔) (십억원),L(말잔) (십억원),계절조정M1(말잔) (십억원),계절조정M1(평잔) (십억원),계절조정M2(말잔) (십억원),계절조정M2(평잔) (십억원),계절조정Lf( 말잔 ) (십억원),계절조정Lf( 평잔 ) (십억원),계절조정L( 말잔 ) (십억원),예금은행총예금(말잔) (십억원),예금은행총예금(평잔) (십억원),예금은행저축성예금(말잔) (십억원),예금은행저축성예금(평잔) (십억원),예금은행대출금(말잔) (십억원),예금은행대출금(평잔) (십억원),예금은행요구불예금회전율 (회/월)
1960. 01,13.9,12.8,16.5,-,22.3,-,22.3,-,24.2,-,-,-,-,-,-,-,-,-,-,-,11.5,-,2.9,-,9.6,-,-
1960. 02,13.2,12.9,15.6,-,22.1,-,22.1,-,24.2,-,-,-,-,-,-,-,-,-,-,-,12.4,-,3.3,-,9.8,-,-
1960. 03,12.6,12.9,15.3,-,21.4,-,21.4,-,23.6,-,-,-,-,-,-,-,-,-,-,-,13.0,-,3.6,-,10.0,-,-
1960. 04,12.4,11.9,15.0,-,21.9,-,21.9,-,23.7,-,-,-,-,-,-,-,-,-,-,-,13.4,-,3.1,-,10.1,-,-
1960. 05,12.0,12.0,14.3,-,21.6,-,21.6,-,23.4,-,-,-,-,-,-,-,-,-,-,-,13.8,-,3.0,-,10.2,-,-
1960. 06,12.5,11.9,14.7,-,21.6,-,21.6,-,23.3,-,-,-,-,-,-,-,-,-,-,-,13.6,-,2.9,-,10.3,-,-
1960. 07,12.6,12.1,14.9,-,21.3,-,21.3,-,23.0,-,-,-,-,-,-,-,-,-,-,-,13.0,-,2.8,-,10.3,-,-
1960. 08,12.4,12.1,14.4,-,21.0,-,21.0,-,22.6,-,-,-,-,-,-,-,-,-,-,-,12.9,-,2.7,-,10.4,-,-
1960. 09,13.0,11.9,15.2,-,20.5,-,20.5,-,22.0,-,-,-,-,-,-,-,-,-,-,-,13.4,-,2.6,-,10.5,-,-
1960. 10,12.4,12.3,14.5,-,20.6,-,20.6,-,22.2,-,-,-,-,-,-,-,-,-,-,-,12.4,-,2.6,-,10.7,-,-
1960. 11,13.8,12.6,15.7,-,21.9,-,21.9,-,23.5,-,-,-,-,-,-,-,-,-,-,-,12.9,-,2.7,-,11.0,-,-
1960. 12,14.6,14.2,16.8,-,22.9,-,22.9,-,24.9,-,-,-,-,-,-,-,-,-,-,-,14.1,-,2.8,-,11.5,-,-
1961. 01,13.6,13.6,16.2,-,23.0,-,23.0,-,25.3,-,-,-,-,-,-,-,-,-,-,-,14.2,-,2.7,-,11.6,-,-
