연도,한국,아프가니스탄,아르메니아,아제르바이잔,바레인,방글라데시,부탄,브루나이,캄보디아,중국,키프로스,동티모르,조지아,홍콩,인도,인도네시아,이란,이라크,이스라엘,일본,요르단,카자흐스탄,쿠웨이트,키르기즈스탄,라오스,레바논,마카오,말레이시아,몰디브,몽골,미얀마,네팔,오만,파키스탄,필리핀,카타르,사우디아라비아,싱가포르,스리랑카,시리아,타지키스탄,태국,터키,투르크메니스탄,아랍에미리트,우즈베키스탄,베트남,예멘
1960. 01 ,50,16.926,,,,,4.77802,3.06122,35,2.4618,0.35714,1,,5.71143,4.778,,75.75,2236.02901,0.00018,361.77,0.35714,,0.35714,,80,3.18,,3.06122,4.752,,4.79,7.167,0.35714,4.782,2.02,,4.5,3.06122,4.752,3.58,,21.19,0.00001,,,,0.00871,
1960. 02 ,65,16.926,,,,,4.77502,3.06122,35,2.4618,0.35714,1,,5.70878,4.775,,75.75,2236.02901,0.00018,361.77,0.35714,,0.35714,,80,3.18,,3.06122,4.745,,4.79,7.167,0.35714,4.78,2.02,,4.5,3.06122,4.745,3.58,,21.19,0.00001,,,,0.00871,
1960. 03 ,65,16.926,,,,,4.76802,3.06122,35,2.4618,0.35714,1,,5.70126,4.768,,75.75,2236.02901,0.00018,358.22,0.35714,,0.35714,,80,3.18,,3.06122,4.745,,4.775,7.167,0.35714,4.775,2.02,,4.5,3.06122,4.745,3.58,,21.19,0.00001,,,,0.00871,
1960. 04 ,65,16.926,,,,,4.76502,3.06122,35,2.4618,0.35714,1,,5.69862,4.765,,75.75,2236.02901,0.00018,361.77,0.35714,,0.35714,,80,3.19,,3.06122,4.743,,4.77,7.619,0.35714,4.772,2.02,,4.5,3.06122,4.743,3.58,,21.19,0.00001,,,,0.00871,
1960. 05 ,65,16.926,,,,,4.77502,3.06122,35,2.4618,0.35714,1,,5.71143,4.775,,75.75,2236.02901,0.00018,361.25,0.35714,,0.35714,,80,3.19,,3.06122,4.759,,4.775,7.619,0.35714,4.782,2.02,,4.5,3.06122,4.759,3.58,,21.19,0.00001,,,,0.00871,
1960. 06 ,65,16.926,,,,,4.77002,3.06122,35,2.4618,0.35714,1,,5.70248,4.77,,75.75,2236.02901,0.00018,360.5,0.35714,,0.35714,,80,3.18,,3.06122,4.754,,4.775,7.619,0.35714,4.775,2.02,,4.5,3.06122,4.754,3.58,,21.19,0.00001,,,,0.00871,
1960. 07 ,65,16.926,,,,,4.76502,3.06122,35,2.4618,0.35714,1,,5.69842,4.765,,75.75,2236.02901,0.00018,358.21,0.35714,,0.35714,,80,3.17,,3.06122,4.751,,4.77,7.619,0.35714,4.772,2.02,,4.5,3.06122,4.751,3.58,,21.19,0.00001,,,,0.00871,
1960. 08 ,65,16.926,,,,,4.76302,3.06122,35,2.4618,0.35714,1,,5.69355,4.763,,75.75,2236.02901,0.00018,358.2,0.35714,,0.35714,,80,3.16,,3.06122,4.747,,4.765,7.619,0.35714,4.77,2.02,,4.5,3.06122,4.747,3.58,,21.19,0.00001,,,,0.00871,
1960. 09 ,65,16.926,,,,,4.76302,3.06122,35,2.4618,0.35714,1,,5.69497,4.763,,75.75,2236.02901,0.00018,358.2,0.35714,,0.35714,,80,3.15,,3.06122,4.749,,4.765,7.619,0.35714,4.77,2.02,,4.5,3.06122,4.749,3.58,,21.19,0.00001,,,,0.00871,
1960. 10 ,65,16.926,,,,,4.75802,3.06122,35,2.4618,0.35714,1,,5.68486,4.758,,75.75,2236.02901,0.00018,358.23,0.35714,,0.35714,,80,3.15,,3.06122,4.744,,4.76,7.619,0.35714,4.762,2.02,,4.5,3.06122,4.744,3.58,,21.14,0.00001,,,,0.00871,
1960. 11 ,65,16.926,,,,,4.76502,3.06122,35,2.4618,0.35714,1,,5.69497,4.765,,75.75,2236.02901,0.00018,360,0.35714,,0.35714,,80,3.15,,3.06122,4.743,,4.768,7.619,0.35714,4.772,2.02,,4.5,3.06122,4.743,3.58,,21.14,0.00001,,,,0.00871,
1960. 12 ,65,16.926,,,,,4.77302,3.06122,35,2.4618,0.35714,1,,5.70878,4.773,,75.75,2236.02901,0.00018,358.22,0.35714,,0.35714,,80,3.15,,3.06122,4.75,,4.778,7.619,0.35714,4.78,2.02,,4.5,3.06122,4.75,3.58,,21.14,0.00001,,,,0.00871,
1961. 01 ,100,16.926,,,,,4.77302,3.06122,35,2.4618,0.35714,1,,5.70756,4.773,,75.75,2236.02901,0.00018,358.25,0.35714,,0.35714,,80,3.13,,3.06122,4.75,,4.775,7.619,0.35714,4.78,2.02,,4.5,3.06122,4.75,3.58,,21.09,0.00001,,,,0.00871,
1961. 02 ,130,16.926,,,,,4.79002,3.06122,35,2.4618,0.35714,1,,5.72553,4.79,,75.75,2236.02901,0.00018,358.2,0.35714,,0.35714,,80,3.12,,3.06122,4.768,,4.79,7.619,0.35714,4.795,2.02,,4.5,3.06122,4.768,3.58,,21.09,0.00001,,,,0.00871,
1961. 03 ,130,16.926,,,,,4.78302,3.06122,35,2.4618,0.35714,1,,5.72164,4.783,,75.75,2236.02901,0.00018,358.2,0.35714,,0.35714,,80,3.12,,3.06122,4.77,,4.788,7.619,0.35714,4.792,2.02,,4.5,3.06122,4.77,3.58,,21.09,0.00001,,,,0.00871,
1961. 04 ,130,16.926,,,,,4.78802,3.06122,35,2.4618,0.35714,1,,5.7243,4.788,,75.75,2236.02901,0.00018,361.75,0.35714,,0.35714,,80,3.11,,3.06122,4.765,,4.79,7.619,0.35714,4.795,2.02,,4.5,3.06122,4.765,3.58,,21.09,0.00001,,,,0.00871,
1961. 05 ,130,16.926,,,,,4.79502,3.06122,35,2.4618,0.35714,1,,5.73312,4.795,,75.75,2236.02901,0.00018,361.77,0.35714,,0.35714,,80,3.11,,3.06122,4.778,,4.8,7.619,0.35714,4.802,2.02,,4.5,3.06122,4.778,3.58,,21.04,0.00001,,,,0.00871,
1961. 06 ,130,16.926,,,,,4.80002,3.06122,35,2.4618,0.35714,1,,5.74093,4.8,,75.75,2236.02901,0.00018,361.73,0.35714,,0.35714,,80,3.09,,3.06122,4.785,,4.805,7.619,0.35714,4.805,2.02,,4.5,3.06122,4.785,3.58,,21.04,0.00001,,,,0.00871,
